type,topic,spanish,english,answer_or_form,explanation_or_example,status
flashcard,rank 1,ser,to be (essential),,Quiero ser más paciente.,ok
flashcard,rank 2,estar,to be (state/location),,Voy a estar en casa esta tarde.,ok
flashcard,rank 3,haber,to have; there to be,,Tiene que haber otra solución.,ok
flashcard,rank 4,hacer,to do; to make,,Tengo que hacer la cena.,ok
flashcard,rank 5,poder,to be able to; can,,Quiero poder hablar español con confianza.,ok
flashcard,rank 6,decir,to say; to tell,,Necesito decirte algo importante.,ok
flashcard,rank 7,ir,to go,,Vamos a ir al mercado el sábado.,ok
flashcard,rank 8,ver,to see,,Quiero ver esa película nueva.,ok
flashcard,rank 9,dar,to give,,Voy a dar mi opinión en la reunión.,ok
flashcard,rank 10,saber,to know (facts),,Quiero saber la verdad.,ok
flashcard,rank 11,querer,to want,,Quiero aprender español.,ok
flashcard,rank 12,llegar,to arrive,,El tren va a llegar tarde.,ok
flashcard,rank 13,pasar,to pass; to happen,,No sé qué va a pasar mañana.,ok
flashcard,rank 14,deber,to owe; should,,Debes descansar un poco.,ok
flashcard,rank 15,poner,to put,,Voy a poner la mesa para la cena.,ok
flashcard,rank 16,parecer,to seem,,Esto puede parecer difícil al principio.,ok
flashcard,rank 17,quedar,to stay; to remain,,Podemos quedar mañana por la tarde.,ok
flashcard,rank 18,creer,to believe,,No puedo creer esta noticia.,ok
flashcard,rank 19,hablar,to speak; to talk,,Ana habla tres idiomas.,ok
flashcard,rank 20,llevar,to carry; to take,,Voy a llevar el paraguas por si llueve.,ok
flashcard,rank 21,dejar,to leave; to let,,Voy a dejar las llaves en la mesa.,ok
flashcard,rank 22,seguir,to follow; to continue,,Vamos a seguir las instrucciones con cuidado.,ok
flashcard,rank 23,encontrar,to find,,Espero encontrar mis gafas pronto.,ok
flashcard,rank 24,llamar,to call,,Voy a llamar a mi madre esta noche.,ok
flashcard,rank 25,venir,to come,,Mis amigos van a venir a la fiesta.,ok
flashcard,rank 26,pensar,to think,,Necesito pensar en esta decisión.,ok
flashcard,rank 27,salir,to leave; to go out,,Vamos a salir temprano mañana.,ok
flashcard,rank 28,volver,to return,,Espero volver antes de las diez.,ok
flashcard,rank 29,tomar,to take; to drink,,Voy a tomar un café antes de trabajar.,ok
flashcard,rank 30,conocer,to know; to meet,,Me gustaría conocer mejor la ciudad.,ok
flashcard,rank 31,vivir,to live,,Quiero vivir cerca del mar algún día.,ok
flashcard,rank 32,sentir,to feel,,Puedo sentir el frío en las manos.,ok
flashcard,rank 33,tratar,to try; to deal with,,Voy a tratar de llegar a tiempo.,ok
flashcard,rank 34,mirar,to look at,,Los niños miran las estrellas por la noche.,ok
flashcard,rank 35,contar,to count; to tell,,Mi abuelo siempre cuenta historias interesantes.,ok
flashcard,rank 36,empezar,to begin,,Vamos a empezar la clase en cinco minutos.,ok
flashcard,rank 37,esperar,to wait; to hope,,Voy a esperar tu respuesta con calma.,ok
flashcard,rank 38,buscar,to look for,,Necesito buscar un regalo para mi hermana.,ok
flashcard,rank 39,existir,to exist,,Debe existir una forma más sencilla.,ok
flashcard,rank 40,entrar,to enter,,Vamos a entrar por la puerta principal.,ok
flashcard,rank 41,trabajar,to work,,Mi padre trabaja en un hospital.,ok
flashcard,rank 42,escribir,to write,,Quiero escribir un correo a mi jefe.,ok
flashcard,rank 43,perder,to lose,,No quiero perder el autobús.,ok
flashcard,rank 44,producir,to produce,,Esta fábrica va a producir más piezas este año.,ok
flashcard,rank 45,ocurrir,to occur; to happen,,Eso puede ocurrir en cualquier momento.,ok
flashcard,rank 46,entender,to understand,,Necesito entender mejor esta lección.,ok
flashcard,rank 47,pedir,to ask for; to order,,Voy a pedir ayuda a mi vecino.,ok
flashcard,rank 48,recibir,to receive,,Espero recibir buenas noticias hoy.,ok
flashcard,rank 49,recordar,to remember,,Quiero recordar este viaje para siempre.,ok
flashcard,rank 50,terminar,to finish,,Voy a terminar el informe esta noche.,ok
flashcard,rank 51,permitir,to allow,,El médico no le va a permitir viajar todavía.,ok
flashcard,rank 52,aparecer,to appear,,Espero que el gato vuelva a aparecer pronto.,ok
flashcard,rank 53,conseguir,to get; to achieve,,Quiero conseguir un trabajo mejor.,ok
flashcard,rank 54,comenzar,to begin,,La reunión va a comenzar en diez minutos.,ok
flashcard,rank 55,servir,to serve,,Vamos a servir la cena a las ocho.,ok
flashcard,rank 56,sacar,to take out; to get,,Necesito sacar dinero del banco.,ok
flashcard,rank 57,necesitar,to need,,Vas a necesitar un abrigo hoy.,ok
flashcard,rank 58,mantener,to maintain; to keep,,Quiero mantener esta rutina de ejercicio.,ok
flashcard,rank 59,resultar,to result; to turn out,,La tarea puede resultar más fácil de lo esperado.,ok
flashcard,rank 60,leer,to read,,Me gusta leer antes de dormir.,ok
flashcard,rank 61,caer,to fall,,"Ten cuidado, esa taza puede caer.",ok
flashcard,rank 62,cambiar,to change,,Vamos a cambiar los muebles de sitio.,ok
flashcard,rank 63,presentar,to present,,Voy a presentar mi proyecto mañana.,ok
flashcard,rank 64,crear,to create,,Queremos crear una aplicación útil.,ok
flashcard,rank 65,abrir,to open,,Voy a abrir la ventana un momento.,ok
